
,,,,,,BESS Pre-Estimation Sheet,Omni Import Reference Column:,H,,,,,,,,,,
,,,,,,01-18-24,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,Active,Active,Active,Active,,,,,,,,
,Initial Source,Ultimate Source,Assump Tab UID,UID,Req/Opt,Variable Name,Option 1,Option 2,Option 3,Option 4,,,,,,,,
,,,,B_ER_1,,Estimate Request,,,,,,,,,,,,
,OMNI system,Early Stage,B_A_7,B_ER_2,Req,Project Name,Vulcan Solar,Vulcan Solar,Vulcan Solar,Vulcan Solar,,,,,,,,
,OMNI system,Early Stage,B_A_299,B_ER_3,Req,Proposal Name,Vulcan Solar ,Vulcan Solar ,Vulcan Solar ,Vulcan Solar ,,,,,,,,
,OMNI system,Early Stage,B_A_300,B_ER_4,Req,Scenario Name,800 MW Full Build,Phase I - 250MW,Phase II - 550MW,800 MW Full Build,,,,,,,,
,,,B_A_301,B_ER_5,Req,E&C Scenario Name,800 MW Full Build - 230kV Gen-tie,Phase I - 250MW - 230kV Gen-tie,Phase II - 550MW - 230kV Gen-tie,800 MW Full Build - 500kV Gen-tie,,,,,,,,
,OMNI system,Early Stage,B_A_307,B_ER_6,Req,Project P-Num,C4.007413,C4.007413,C4.007413,C4.007413,,,,,,,,
,,,B_A_308,B_ER_152,Req,Project ID,70555,70555,70555,70555,,,,,,,,
,,,B_A_309,B_ER_153,Req,Proposal ID,121837,121837,121837,121837,,,,,,,,
,,,B_A_310,B_ER_154,Req,Scenario ID,276112,276115,276116,278391,,,,,,,,
,OMNI system,Early Stage,B_A_4,B_ER_7,Req,Project Energy / Utiltiy (BOT?),NEER,NEER,NEER,NEER,,,,,,,,
,OMNI system,Early Stage,B_A_8,B_ER_8,Calc,Date of Request,02-06-24,02-06-24,02-06-24,02-06-24,,,,,,,,
,Calculation,Early Stage,,B_ER_9,Calc,Date Product Needed,02-20-24,02-20-24,02-20-24,02-20-24,,,,,,,,
,Default,Early Stage,B_A_15,B_ER_10,Calc,Universal or DG,Universal,Universal,Universal,Universal,,,,,,,,
,,,B_A_306,B_ER_151,Req,Maturity Index Stage,Early-Stage Pipeline,Early-Stage Pipeline,Early-Stage Pipeline,Early-Stage Pipeline,,,,,,,,
,,,B_A_6,B_ER_11,,Project Information,I,J,K,L,,,,,,,,
,OMNI system,Early Stage,B_A_11,B_ER_12,Req,"Project Location, State",AZ,AZ,AZ,AZ,,,,,,,,
,OMNI system,Early Stage,B_A_302,B_ER_13,Req,Independent System Operator / Regional Transmission Organization,None,None,None,None,,,,,,,,
,OMNI system,Early Stage,B_A_303,B_ER_14,Req,Interconnecting Utility,Other,Other,Other,Other,,,,,,,,
,OMNI system,Early Stage,B_A_304,B_ER_15,Opt,Elevation (ft),912.426054,912.426054,912.426054,912.426054,,,,,,,,
,OMNI system,Early Stage,B_A_79,B_ER_16,Opt,Distance From Coast,>25 miles,>25 miles,>25 miles,>25 miles,,,,,,,,
,,,,B_ER_17,Opt,Design Minimum Temperature (°C),-5.64,-5.64,-5.64,-5.64,,,,,,,,
,OMNI system,Early Stage,B_A_73,B_ER_18,Req,Design Maximum Temperature (°C),50,50,50,50,,,,,,,,
,,,,B_ER_19,,Construction Schedule,,,,,,,,,,,,
,OMNI system,Early Stage,B_A_37,B_ER_20,Calc,Earliest Start Date (site work),10-18-28,02-13-27,11-25-28,10-18-28,,,,,,,,
,Calculation,Early Stage,B_A_38,B_ER_21,Calc,First BESS Delivered,05-18-29,07-29-27,06-10-29,05-18-29,,,,,,,,
,Calculation,Early Stage,B_A_39,B_ER_22,Calc,Backfeed Power Date (Sub In Service),12-16-29,01-11-28,12-24-29,12-16-29,,,,,,,,
,OMNI system,Early Stage,B_A_40,B_ER_23,Req,Intended COD,04-01-30,04-01-28,04-01-30,04-01-30,,,,,,,,
,,,,B_ER_24,,BESS Inputs,,,,,,,,,,,,
,Calculation,,B_A_16,B_ER_25,Calc,Application,Energy,Energy,Energy,Energy,,,,,,,,
,OMNI system,Early Stage,B_A_19,B_ER_26,Req,Contractual Power at POI - MW,800,250,550,800,,,,,,,,
,Calculation,,B_A_20,B_ER_27,Calc,Minimum Equipment Rating (MVA),824,257.5,566.5,824,,,,,,,,
,Calculation,,B_A_21,B_ER_28,Calc,Installed Equipment Rating (MVA),963.3,302.2,662.0,962.3,,,,,,,,
,OMNI system,Early Stage,B_A_22,B_ER_29,Req,Energy Charge / Discharge Duration (Hours),4,4,4,4,,,,,,,,
,Calculation,,B_A_23,B_ER_30,Req,Minimum MWh Capacity (Initial),4020.1,1258.6,2761.5,4020.1,,,,,,,,
,Calculation,,B_A_24,B_ER_31,Calc,Installed MWh Capacity (Initial),4024.1,1262.6,2765.6,4020.1,,,,,,,,
,,,B_A_311,B_ER_155,Calc,Installed MWh Capacity Balanced (Initial) (Red Price Only),,,,,,,,,,,,
,Calculation,,B_A_25,B_ER_32,Calc,Lifetime MWh Capacity (Total),4822.43,1511.08,3319.50,4818.36,,,,,,,,
